[2023-07-07 03:34:11] [class-ss-plugin.php:305] Received request to start generating a static archive
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/languages/hype-animations-ru_RU.mo to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/languages/hype-animations-ru_RU.mo
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/languages/hype-animations-ro_RO.po to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/languages/hype-animations-ro_RO.po
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/languages/hype-animations-it_IT.mo to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/languages/hype-animations-it_IT.mo
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/languages/hype-animations-ar.po to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/languages/hype-animations-ar.po
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/languages/hype-animations-zh_CN.po to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/languages/hype-animations-zh_CN.po
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/languages/hype-animations-nl_NL.po to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/languages/hype-animations-nl_NL.po
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/languages/hype-animations-fr_FR.po to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/languages/hype-animations-fr_FR.po
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/languages/hype-animations-de_DE.mo to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/languages/hype-animations-de_DE.mo
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/languages/hype-animations-id_ID.mo to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/languages/hype-animations-id_ID.mo
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/languages/hype-animations-ja.mo to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/languages/hype-animations-ja.mo
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/languages/hype-animations-ko_KR.mo to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/languages/hype-animations-ko_KR.mo
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/languages/hype-animations-es_MX.mo to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/languages/hype-animations-es_MX.mo
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/languages/hype-animations-es_ES.po to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/languages/hype-animations-es_ES.po
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/languages/hype-animations-nl_NL.mo to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/languages/hype-animations-nl_NL.mo
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/languages/hype-animations-fr_FR.mo to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/languages/hype-animations-fr_FR.mo
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/languages/hype-animations-de_DE.po to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/languages/hype-animations-de_DE.po
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/languages/hype-animations-id_ID.po to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/languages/hype-animations-id_ID.po
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/languages/hype-animations-ja.po to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/languages/hype-animations-ja.po
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/languages/hype-animations-ro_RO.mo to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/languages/hype-animations-ro_RO.mo
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/languages/hype-animations-ar.mo to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/languages/hype-animations-ar.mo
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/languages/hype-animations-it_IT.po to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/languages/hype-animations-it_IT.po
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/languages/hype-animations-zh_CN.mo to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/languages/hype-animations-zh_CN.mo
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/languages/hype-animations-af.po to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/languages/hype-animations-af.po
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/languages/hype-animations-pt_BR.mo to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/languages/hype-animations-pt_BR.mo
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/languages/hype-animations.pot to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/languages/hype-animations.pot
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/languages/hype-animations-ru_RU.po to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/languages/hype-animations-ru_RU.po
